,data,taxa_selic,fator_diario
687,2020-10-26,1.9,1.00007469
688,2020-10-23,1.9,1.00007469
689,2020-10-22,1.9,1.00007469
690,2020-10-21,1.9,1.00007469
691,2020-10-20,1.9,1.00007469
692,2020-10-19,1.9,1.00007469
693,2020-10-16,1.9,1.00007469
694,2020-10-15,1.9,1.00007469
695,2020-10-14,1.9,1.00007469
696,2020-10-13,1.9,1.00007469
697,2020-10-09,1.9,1.00007469
698,2020-10-08,1.9,1.00007469
699,2020-10-07,1.9,1.00007469
700,2020-10-06,1.9,1.00007469
701,2020-10-05,1.9,1.00007469
702,2020-10-02,1.9,1.00007469
703,2020-10-01,1.9,1.00007469
704,2020-09-30,1.9,1.00007469
705,2020-09-29,1.9,1.00007469
706,2020-09-28,1.9,1.00007469
707,2020-09-25,1.9,1.00007469
708,2020-09-24,1.9,1.00007469
709,2020-09-23,1.9,1.00007469
710,2020-09-22,1.9,1.00007469
711,2020-09-21,1.9,1.00007469
712,2020-09-18,1.9,1.00007469
713,2020-09-17,1.9,1.00007469
714,2020-09-16,1.9,1.00007469
715,2020-09-15,1.9,1.00007469
716,2020-09-14,1.9,1.00007469
717,2020-09-11,1.9,1.00007469
718,2020-09-10,1.9,1.00007469
719,2020-09-09,1.9,1.00007469
720,2020-09-08,1.9,1.00007469
721,2020-09-04,1.9,1.00007469
722,2020-09-03,1.9,1.00007469
723,2020-09-02,1.9,1.00007469
724,2020-09-01,1.9,1.00007469
725,2020-08-31,1.9,1.00007469
726,2020-08-28,1.9,1.00007469
727,2020-08-27,1.9,1.00007469
728,2020-08-26,1.9,1.00007469
729,2020-08-25,1.9,1.00007469
730,2020-08-24,1.9,1.00007469
731,2020-08-21,1.9,1.00007469
